StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,D1,D2,D3,D3_4_TEXT,D4,1_Q2,1_Q3,1_Q4,1_Q5,1_Q7,1_Q8,1_Q12,1_Q13,2_Q2,2_Q3,2_Q4,2_Q5,2_Q7,2_Q8,2_Q12,2_Q13,3_Q2,3_Q3,3_Q4,3_Q5,3_Q7,3_Q8,3_Q12,3_Q13,4_Q2,4_Q3,4_Q4,4_Q5,4_Q7,4_Q8,4_Q12,4_Q13,SolutionRevision,ProjectCategory,ProjectType
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How old are you?,What best describes your employment status over the last three months?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,What is your current marital status?,OPI Custom Nail Polish Color Technology - What is your initial reaction this concept?,OPI Custom Nail Polish Color Technology - How different is this concept from other products currently available by OPI?,OPI Custom Nail Polish Color Technology - How appealing is this concept compared to other products currently available?,OPI Custom Nail Polish Color Technology - How much do you like or dislike this concept?,OPI Custom Nail Polish Color Technology - How relevant is this concept to you personally?,"OPI Custom Nail Polish Color Technology - From the list below, which best describes your need for this concept?",OPI Custom Nail Polish Color Technology - How likely would you be to buy the product shown here?,OPI Custom Nail Polish Color Technology - How much would you expect to pay for this product?,OPI Pop-up Salon and Shop - What is your initial reaction this concept?,OPI Pop-up Salon and Shop - How different is this concept from other products currently available by OPI?,OPI Pop-up Salon and Shop - How appealing is this concept compared to other products currently available?,OPI Pop-up Salon and Shop - How much do you like or dislike this concept?,OPI Pop-up Salon and Shop - How relevant is this concept to you personally?,"OPI Pop-up Salon and Shop - From the list below, which best describes your need for this concept?",OPI Pop-up Salon and Shop - How likely would you be to buy the product shown here?,OPI Pop-up Salon and Shop - How much would you expect to pay for this product?,Odorless Gel Polish - What is your initial reaction this concept?,Odorless Gel Polish - How different is this concept from other products currently available by OPI?,Odorless Gel Polish - How appealing is this concept compared to other products currently available?,Odorless Gel Polish - How much do you like or dislike this concept?,Odorless Gel Polish - How relevant is this concept to you personally?,"Odorless Gel Polish - From the list below, which best describes your need for this concept?",Odorless Gel Polish - How likely would you be to buy the product shown here?,Odorless Gel Polish - How much would you expect to pay for this product?,Nail Polish and Care Subscription Service - What is your initial reaction this concept?,Nail Polish and Care Subscription Service - How different is this concept from other products currently available by OPI?,Nail Polish and Care Subscription Service - How appealing is this concept compared to other products currently available?,Nail Polish and Care Subscription Service - How much do you like or dislike this concept?,Nail Polish and Care Subscription Service - How relevant is this concept to you personally?,"Nail Polish and Care Subscription Service - From the list below, which best describes your need for this concept?",Nail Polish and Care Subscription Service - How likely would you be to buy the product shown here?,Nail Polish and Care Subscription Service - How much would you expect to pay for this product?,SolutionRevision,ProjectCategory,ProjectType
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1001""}","{""ImportId"":""QID1003""}","{""ImportId"":""QID1004""}","{""ImportId"":""QID1004_4_TEXT""}","{""ImportId"":""QID1005""}","{""ImportId"":""1_QID2""}","{""ImportId"":""1_QID3""}","{""ImportId"":""1_QID4""}","{""ImportId"":""1_QID5""}","{""ImportId"":""1_QID7""}","{""ImportId"":""1_QID8""}","{""ImportId"":""1_QID12""}","{""ImportId"":""1_QID13""}","{""ImportId"":""2_QID2""}","{""ImportId"":""2_QID3""}","{""ImportId"":""2_QID4""}","{""ImportId"":""2_QID5""}","{""ImportId"":""2_QID7""}","{""ImportId"":""2_QID8""}","{""ImportId"":""2_QID12""}","{""ImportId"":""2_QID13""}","{""ImportId"":""3_QID2""}","{""ImportId"":""3_QID3""}","{""ImportId"":""3_QID4""}","{""ImportId"":""3_QID5""}","{""ImportId"":""3_QID7""}","{""ImportId"":""3_QID8""}","{""ImportId"":""3_QID12""}","{""ImportId"":""3_QID13""}","{""ImportId"":""4_QID2""}","{""ImportId"":""4_QID3""}","{""ImportId"":""4_QID4""}","{""ImportId"":""4_QID5""}","{""ImportId"":""4_QID7""}","{""ImportId"":""4_QID8""}","{""ImportId"":""4_QID12""}","{""ImportId"":""4_QID13""}","{""ImportId"":""SolutionRevision""}","{""ImportId"":""ProjectCategory""}","{""ImportId"":""ProjectType""}"
2022-06-24 07:55:00,2022-06-24 07:58:24,Survey Preview,,100,204,True,2022-06-24 07:58:25,R_1PSoFigAeRJa5gB,,,,,47.6733,-122.3426,preview,EN,25-34 years old,Working full-time,Female,,Living with a partner,Extremely positive,Very different,Very appealing,Like a great deal,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Somewhat likely,$10 - $15,Extremely positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$40 - $50,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Extremely positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,2,PX,ConceptTesting
2022-06-24 08:07:38,2022-06-24 08:16:53,Survey Preview,,100,554,True,2022-06-24 08:16:54,R_9uxnRWuPSnqIagp,,,,,47.6733,-122.3426,preview,EN,18-24 years old,Working part-time,Female,,Living with a partner,Extremely positive,Very different,Very appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$10 - $15,Somewhat positive,A little different,Very appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$40 - $50,Extremely positive,Different,Very appealing,Like a great deal,Somewhat relevant,I need it because nothing else solves this problem,Extremely likely,$10 - $15,Extremely positive,Different,Appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,2,PX,ConceptTesting
2022-06-24 15:05:08,2022-06-24 15:10:06,IP Address,72.35.130.228,100,297,True,2022-06-24 15:10:06,R_3KI0oMBP3a8ly60,,,,,44.0944,-121.2863,anonymous,EN,25-34 years old,Working full-time,Female,,Never been married,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,Neither positive nor negative,Not very different,Not very appealing,Neither like nor dislike,Somewhat irrelevant,I don't see any reason to use this,Somewhat unlikely,$5 - $10,Somewhat negative,Not very different,Not very appealing,Dislike somewhat,Somewhat irrelevant,I don't see any reason to use this,Somewhat unlikely,$50+,2,PX,ConceptTesting
2022-06-24 19:52:15,2022-06-24 19:55:46,IP Address,107.122.81.124,100,210,True,2022-06-24 19:55:46,R_31Enlf4AUSRsFPC,,,,,47.6631,-122.3029,anonymous,EN,35-44 years old,Working full-time,Female,,Married,Somewhat positive,A little different,A little appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat unlikely,$5 - $10,Somewhat positive,A little different,A little appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,Somewhat positive,Different,Appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,Neither positive nor negative,Different,Not very appealing,Neither like nor dislike,Somewhat irrelevant,What I am currently using is better than this,Somewhat unlikely,$15 - $20,2,PX,ConceptTesting
2022-06-24 21:58:17,2022-06-24 22:06:17,IP Address,47.145.238.141,100,479,True,2022-06-24 22:06:17,R_vqKxVlXPiiuE3W9,,,,,34.0803,-117.735,anonymous,EN,25-34 years old,Working full-time,Female,,Never been married,Somewhat positive,A little different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Extremely positive,Different,Appealing,Like a great deal,Extremely relevant,This would be slightly better than what I am currently using,Somewhat likely,$30 - $40,Extremely positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Somewhat positive,Different,Appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,2,PX,ConceptTesting
2022-06-25 06:19:41,2022-06-25 06:24:24,IP Address,107.116.79.15,100,283,True,2022-06-25 06:24:25,R_27cWE6h2TU9LvKH,,,,,38.8778,-77.0127,anonymous,EN,35-44 years old,Working full-time,Female,,Never been married,Somewhat positive,Different,A little appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Somewhat positive,Different,A little appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$15 - $20,Somewhat positive,Different,A little appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$15 - $20,Neither positive nor negative,Very different,Not very appealing,Neither like nor dislike,Extremely irrelevant,I don't see any reason to use this,Somewhat unlikely,$20 - $30,2,PX,ConceptTesting
2022-06-25 11:08:57,2022-06-25 11:13:19,IP Address,104.32.160.233,100,262,True,2022-06-25 11:13:20,R_1K6YeCIkzGobmCc,,,,,34.0068,-118.256,anonymous,EN,18-24 years old,Student,Female,,Never been married,Somewhat positive,Different,A little appealing,Like somewhat,Somewhat relevant,I don't see any reason to use this,Extremely unlikely,$10 - $15,Extremely positive,Very different,Very appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Neither positive nor negative,Different,Not very appealing,Neither like nor dislike,Extremely irrelevant,I don't see any reason to use this,Somewhat unlikely,$5 - $10,Somewhat positive,A little different,Not very appealing,Neither like nor dislike,Somewhat relevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$10 - $15,2,PX,ConceptTesting
2022-06-25 11:22:18,2022-06-25 11:24:28,IP Address,46.36.116.205,100,130,True,2022-06-25 11:24:28,R_3fDA4RCaOe49aO1,,,,,40.1817,44.5099,anonymous,EN,18-24 years old,Working part-time,Male,,Never been married,Neither positive nor negative,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,I don't see any reason to use this,Neither likely nor unlikely,$5 - $10,Neither positive nor negative,A little different,A little appealing,Neither like nor dislike,Somewhat relevant,I don't see any reason to use this,Neither likely nor unlikely,$5 - $10,Somewhat negative,Not at all different,A little appealing,Neither like nor dislike,Somewhat irrelevant,This is essentially the same as what I am currently using,Somewhat unlikely,$40 - $50,Neither positive nor negative,Not very different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$5 - $10,2,PX,ConceptTesting
